Rank,NOC,Gold,Silver,Bronze,Total,Year
1,USA,11,7,2,20,1896
2,GRE,10,18,19,47,1896
3,GER,6,5,2,13,1896
4,FRA,5,4,2,11,1896
5,GBR,2,3,2,7,1896
6,HUN,2,1,3,6,1896
7,AUT,2,1,2,5,1896
8,AUS,2,0,0,2,1896
9,DEN,1,2,3,6,1896
10,SUI,1,2,0,3,1896
11,MIX,1,0,1,2,1896
1,FRA,27,39,37,103,1900
2,USA,19,14,15,48,1900
3,GBR,15,7,9,31,1900
4,MIX,8,5,6,19,1900
5,BEL,6,7,4,17,1900
6,SUI,6,2,1,9,1900
7,GER,4,3,2,9,1900
8,ITA,3,2,0,5,1900
9,AUS,2,0,3,5,1900
10,DEN,1,3,2,6,1900
11,HUN,1,2,2,5,1900
12,CUB,1,1,0,2,1900
13,CAN,1,0,1,2,1900
14,ESP,1,0,0,1,1900
14,LUX,1,0,0,1,1900
16,AUT,0,3,3,6,1900
17,NOR,0,2,3,5,1900
17,NED,0,2,3,5,1900
19,IND,0,2,0,2,1900
20,BOH,0,1,1,2,1900
21,SWE,0,0,1,1,1900
1,USA,76,78,77,231,1904
2,GER,4,5,6,15,1904
3,CAN,4,1,1,6,1904
4,CUB,3,0,0,3,1904
5,HUN,2,1,1,4,1904
5,MIX,2,1,1,4,1904
7,NOR,2,0,0,2,1904
8,AUT,1,1,1,3,1904
9,GBR,1,1,0,2,1904
10,SUI,1,0,2,3,1904
11,GRE,1,0,1,2,1904
12,AUS,0,3,1,4,1904
13,FRA,0,1,0,1,1904
1,GBR,56,51,39,146,1908
2,USA,23,12,12,47,1908
3,SWE,8,6,11,25,1908
4,FRA,5,5,9,19,1908
5,GER,3,5,5,13,1908
6,HUN,3,4,2,9,1908
7,CAN,3,3,10,16,1908
8,NOR,2,3,3,8,1908
9,ITA,2,2,0,4,1908
10,BEL,1,5,2,8,1908
11,ANZ,1,2,2,5,1908
12,RUS,1,2,0,3,1908
13,FIN,1,1,3,5,1908
14,RSA,1,1,0,2,1908
15,GRE,0,3,1,4,1908
16,DEN,0,2,3,5,1908
17,BOH,0,0,2,2,1908
17,NED,0,0,2,2,1908
19,AUT,0,0,1,1,1908
1,USA,26,19,19,64,1912
2,SWE,23,25,17,65,1912
3,GBR,10,15,16,41,1912
4,FIN,9,8,9,26,1912
5,FRA,7,4,3,14,1912
6,GER,5,13,7,25,1912
7,RSA,4,2,0,6,1912
8,NOR,3,2,5,10,1912
9,CAN,3,2,3,8,1912
9,HUN,3,2,3,8,1912
11,ITA,3,1,2,6,1912
12,ANZ,2,2,3,7,1912
13,BEL,2,1,3,6,1912
14,DEN,1,6,5,12,1912
15,GRE,1,0,1,2,1912
16,RUS,0,2,3,5,1912
17,AUT,0,2,2,4,1912
18,NED,0,0,3,3,1912
1,USA,41,27,27,95,1920
2,SWE,19,20,25,64,1920
3,FIN,15,10,9,34,1920
4,GBR,14,15,13,42,1920
5,BEL,14,11,11,36,1920
6,NOR,13,9,9,31,1920
7,ITA,13,5,5,23,1920
8,FRA,9,19,13,41,1920
9,NED,4,2,5,11,1920
10,DEN,3,9,1,13,1920
11,RSA,3,4,3,10,1920
12,CAN,3,3,3,9,1920
13,SUI,2,2,7,11,1920
14,EST,1,2,0,3,1920
15,BRA,1,1,1,3,1920
16,AUS,0,2,1,3,1920
17,JPN,0,2,0,2,1920
17,ESP,0,2,0,2,1920
19,GRE,0,1,0,1,1920
19,LUX,0,1,0,1,1920
21,TCH,0,0,2,2,1920
22,NZL,0,0,1,1,1920
1,USA,45,27,27,99,1924
2,FIN,14,13,10,37,1924
3,FRA,13,15,10,38,1924
4,GBR,9,13,12,34,1924
5,ITA,8,3,5,16,1924
6,SUI,7,8,10,25,1924
7,NOR,5,2,3,10,1924
8,SWE,4,13,12,29,1924
9,NED,4,1,5,10,1924
10,BEL,3,7,3,13,1924
11,AUS,3,1,2,6,1924
12,DEN,2,5,2,9,1924
13,HUN,2,3,4,9,1924
14,YUG,2,0,0,2,1924
15,TCH,1,4,5,10,1924
16,ARG,1,3,2,6,1924
17,EST,1,1,4,6,1924
18,RSA,1,1,1,3,1924
19,URY,1,0,0,1,1924
20,AUT,0,3,1,4,1924
20,CAN,0,3,1,4,1924
22,POL,0,1,1,2,1924
23,HAI,0,0,1,1,1924
23,JPN,0,0,1,1,1924
23,NZL,0,0,1,1,1924
23,POR,0,0,1,1,1924
23,ROU,0,0,1,1,1924
1,USA,22,18,16,56,1928
2,GER,10,7,14,31,1928
3,FIN,8,8,9,25,1928
4,SWE,7,6,12,25,1928
5,ITA,7,5,7,19,1928
6,SUI,7,4,4,15,1928
7,FRA,6,10,5,21,1928
8,NED,6,9,4,19,1928
9,HUN,4,5,0,9,1928
10,CAN,4,4,7,15,1928
11,GBR,3,10,7,20,1928
12,ARG,3,3,1,7,1928
13,DEN,3,1,2,6,1928
14,TCH,2,5,2,9,1928
15,JPN,2,2,1,5,1928
16,EST,2,1,2,5,1928
17,EGY,2,1,1,4,1928
18,AUT,2,0,1,3,1928
19,AUS,1,2,1,4,1928
19,NOR,1,2,1,4,1928
21,POL,1,1,3,5,1928
21,YUG,1,1,3,5,1928
23,RSA,1,0,2,3,1928
24,IND,1,0,0,1,1928
24,IRL,1,0,0,1,1928
24,NZL,1,0,0,1,1928
24,ESP,1,0,0,1,1928
24,URY,1,0,0,1,1928
29,BEL,0,1,2,3,1928
30,CHI,0,1,0,1,1928
30,HAI,0,1,0,1,1928
32,PHI,0,0,1,1,1928
32,POR,0,0,1,1,1928
1,USA,44,36,30,110,1932
2,ITA,12,12,12,36,1932
3,FRA,11,5,4,20,1932
4,SWE,10,5,9,24,1932
5,JPN,7,7,4,18,1932
6,HUN,6,5,5,16,1932
7,GER,5,12,7,24,1932
8,FIN,5,8,12,25,1932
9,GBR,5,7,5,17,1932
10,POL,3,2,4,9,1932
11,AUS,3,1,1,5,1932
12,ARG,3,1,0,4,1932
13,CAN,2,5,9,16,1932
14,NED,2,5,1,8,1932
15,RSA,2,0,3,5,1932
16,IRL,2,0,0,2,1932
17,TCH,1,3,2,6,1932
18,AUT,1,1,3,5,1932
19,IND,1,0,0,1,1932
20,DEN,0,5,3,8,1932
21,MEX,0,2,0,2,1932
22,LAT,0,1,0,1,1932
22,NZL,0,1,0,1,1932
22,SUI,0,1,0,1,1932
25,PHI,0,0,3,3,1932
26,BEL,0,0,1,1,1932
26,ESP,0,0,1,1,1932
26,URY,0,0,1,1,1932
1,GER,38,31,32,101,1936
2,USA,24,21,12,57,1936
3,HUN,10,1,5,16,1936
4,ITA,9,13,5,27,1936
5,FIN,8,6,6,20,1936
6,FRA,7,6,6,19,1936
7,SWE,6,5,10,21,1936
8,JPN,6,4,10,20,1936
9,NED,6,4,7,17,1936
10,AUT,5,7,5,17,1936
11,SUI,4,9,5,18,1936
12,GBR,4,7,3,14,1936
13,TCH,3,5,1,9,1936
14,ARG,2,2,3,7,1936
14,EST,2,2,3,7,1936
16,EGY,2,1,2,5,1936
17,CAN,1,3,5,9,1936
18,NOR,1,3,2,6,1936
19,TUR,1,0,1,2,1936
20,IND,1,0,0,1,1936
20,NZL,1,0,0,1,1936
22,POL,0,4,5,9,1936
23,DEN,0,2,3,5,1936
24,LAT,0,1,1,2,1936
25,ROU,0,1,0,1,1936
25,RSA,0,1,0,1,1936
25,YUG,0,1,0,1,1936
28,BEL,0,0,3,3,1936
28,MEX,0,0,3,3,1936
30,AUS,0,0,1,1,1936
30,PHI,0,0,1,1,1936
30,POR,0,0,1,1,1936
1,USA,38,27,19,84,1948
2,SWE,16,11,17,44,1948
3,FRA,10,6,13,29,1948
4,HUN,10,5,12,27,1948
5,ITA,8,11,8,27,1948
6,FIN,8,7,5,20,1948
7,TUR,6,4,2,12,1948
8,TCH,6,2,3,11,1948
9,SUI,5,10,5,20,1948
10,DEN,5,7,8,20,1948
11,NED,5,2,9,16,1948
12,GBR,3,14,6,23,1948
13,ARG,3,3,1,7,1948
14,AUS,2,6,5,13,1948
15,BEL,2,2,3,7,1948
16,EGY,2,2,1,5,1948
17,MEX,2,1,2,5,1948
18,RSA,2,1,1,4,1948
19,NOR,1,3,3,7,1948
20,JAM,1,2,0,3,1948
21,AUT,1,0,3,4,1948
22,IND,1,0,0,1,1948
22,PER,1,0,0,1,1948
24,YUG,0,2,0,2,1948
25,CAN,0,1,2,3,1948
26,POR,0,1,1,2,1948
26,URY,0,1,1,2,1948
28,CEY,0,1,0,1,1948
28,CUB,0,1,0,1,1948
28,ESP,0,1,0,1,1948
28,TTO,0,1,0,1,1948
32,PAN,0,0,2,2,1948
32,KOR,0,0,2,2,1948
34,BRA,0,0,1,1,1948
